,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.2,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,link,download
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,https://hoc247.net/tu-lieu/bo-5-de-thi-hk2-mon-tieng-anh-12-co-dap-an-nam-2021-2022-truong-thpt-tran-hung-dao-doc37999.html,Yes
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,https://hoc247.net/tu-lieu/bo-5-de-thi-hk2-mon-vat-ly-12-nam-2021-2022-co-dap-an-truong-thpt-nguyen-trung-thien-doc37971.html,Yes
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,https://hoc247.net/tu-lieu/bo-5-de-thi-hk2-mon-hoa-hoc-12-nam-2021-2022-co-dap-an-truong-thpt-ha-huy-tap-doc37961.html,Yes
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,https://hoc247.net/tu-lieu/toan-lop-1/,Die
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,https://hoc247.net/tu-lieu/toan-lop-2/,Die
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,https://hoc247.net/tu-lieu/lich-su-va-dia-li/,Die
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,https://hoc247.net/tu-lieu/khoa-hoc-tu-nhien/,Die
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,https://hoc247.net/tu-lieu/tieng-viet-lop-1/,Die
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,https://hoc247.net/tu-lieu/tieng-viet-lop-2/,Die
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,https://hoc247.net/tu-lieu/tieng-anh-moi/,Die
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,https://hoc247.net/tu-lieu/ngu-phap-tieng-anh/,Die
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,https://hoc247.net/tu-lieu/tu-vung-tieng-anh/,Die
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,https://hoc247.net/tu-lieu/triet-hoc/,Die
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,https://hoc247.net/tu-lieu/lich-su-dang/,Die
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,https://hoc247.net/tu-lieu/tu-tuong-ho-chi-minh/,Die
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,https://hoc247.net/tu-lieu/kinh-te-vi-mo/,Die
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,https://hoc247.net/tu-lieu/kinh-te-vii-mo/,Die
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,https://hoc247.net/tu-lieu/toan-cao-cap/,Die
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,https://hoc247.net/tu-lieu/xac-suat-thong-ke/,Die
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,https://hoc247.net/tu-lieu/dai-so-tuyen-tinh/,Die
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,https://hoc247.net/tu-lieu/tam-ly-hoc-dai-cuong/,Die
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,https://hoc247.net/tu-lieu/tin-hoc-dai-cuong/,Die
53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,https://hoc247.net/tu-lieu/ke-toan-dai-cuong/,Die
54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,https://hoc247.net/tu-lieu/phap-luat-dai-cuong/,Die
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,https://hoc247.net/tu-lieu/marketing-can-ban/,Die
56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,https://hoc247.net/tu-lieu/tai-chinh-tien-te/,Die
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,https://hoc247.net/tu-lieu/xa-hoi-hoc-dai-cuong/,Die
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,https://hoc247.net/tu-lieu/logic-hoc/,Die
59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,https://hoc247.net/tu-lieu/lich-su-the-gioi/,Die
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,https://hoc247.net/tu-lieu/co-so-van-hoa-vn/,Die
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,https://hoc247.net/tu-lieu/tieng-anh-lop-1/,Die
62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,https://hoc247.net/tu-lieu/tieng-anh-lop-2/,Die
63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,https://hoc247.net/tu-lieu/tieng-anh-lop-3/,Die
64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,https://hoc247.net/tu-lieu/tieng-anh-lop-4/,Die
65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,https://hoc247.net/tu-lieu/khoa-hoc/,Die
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,https://hoc247.net/tu-lieu/tu-nhien-va-xa-hoi/,Die
67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,https://hoc247.net/tu-lieu/dao-duc/,Die
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,https://hoc247.net/tu-lieu/tieng-anh-lop-5/,Die
69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,https://hoc247.net/tu-lieu/lop-12/de-thi-kiem-tra/,Die
70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,https://hoc247.net/tu-lieu/lop-12/toan-nang-cao/,Die
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,https://hoc247.net/tu-lieu/lop-12/soan-van/,Die
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,https://hoc247.net/tu-lieu/lop-12/van-mau/,Die
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,https://hoc247.net/tu-lieu/lop-12/ngoai-ngu/,Die
74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,https://hoc247.net/tu-lieu/lop-12/tu-nhien-xa-hoi/,Die
75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,https://hoc247.net/tu-lieu/lop-12/sach-va-tap-chi/,Die
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,https://hoc247.net/tu-lieu/lop-12/tu-lieu-khac/,Die
77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,https://hoc247.net/tu-lieu/bo-5-de-thi-thu-thpt-qg-mon-vat-ly-nam-2021-2022-co-dap-an-truong-thpt-lien-bao-doc39024.html,Yes
78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,https://hoc247.net/tu-lieu/bo-5-de-thi-thu-thpt-qg-mon-vat-ly-nam-2021-2022-co-dap-an-truong-thpt-nguyen-duy-thi-doc39023.html,Yes
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,https://hoc247.net/tu-lieu/bo-5-de-thi-thu-thpt-qg-mon-toan-nam-2021-2022-co-dap-an-truong-thpt-nho-quan-a-doc39021.html,Yes
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,https://hoc247.net/tu-lieu/bo-5-de-thi-thu-thpt-qg-mon-vat-ly-nam-2021-2022-co-dap-an-truong-thpt-vinh-tuong-doc39019.html,Yes
81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,https://hoc247.net/tu-lieu/bo-5-de-thi-thu-thpt-qg-mon-vat-ly-nam-2021-2022-co-dap-an-truong-thpt-tran-nguyen-han-doc39018.html,Yes
82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,https://hoc247.net/tu-lieu/bo-5-de-thi-thu-thpt-qg-mon-gdcd-nam-2021-2022-truong-thpt-duy-phien-doc39017.html,Yes
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,https://hoc247.net/tu-lieu/bo-3-de-thi-thu-thpt-qg-mon-sinh-hoc-12-nam-2021-2022-truong-thpt-nguyen-trung-truc-co-dap-an-doc39016.html,Yes
84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,https://hoc247.net/tu-lieu/bo-5-de-thi-thu-thpt-qg-mon-vat-ly-nam-2021-2022-co-dap-an-truong-thpt-bac-binh-doc39015.html,Yes
85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,https://hoc247.net/tu-lieu/bo-5-de-thi-thu-thpt-qg-mon-vat-ly-nam-2021-2022-co-dap-an-truong-thpt-thi-xa-quang-tri-doc39013.html,Yes
86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,https://hoc247.net/tu-lieu/bo-5-de-thi-thu-thpt-qg-mon-sinh-hoc-12-nam-2021-2022-truong-thpt-hoa-binh-co-dap-an-doc39012.html,Yes
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,https://hoc247.net/tu-lieu/nghi-luan-xa-hoi-ve-y-nghia-cua-nhung-viec-tu-te-trong-cuoc-song-doc39011.html,Yes
88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,https://hoc247.net/tu-lieu/bo-5-de-thi-thu-thpt-qg-mon-vat-ly-nam-2021-2022-co-dap-an-truong-thpt-ba-hien-doc39009.html,Yes
89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,https://hoc247.net/tu-lieu/lop-12?page=2,Die
90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,https://hoc247.net/tu-lieu/lop-12?page=3,Die
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,https://hoc247.net/tu-lieu/lop-12?page=4,Die
92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,https://hoc247.net/tu-lieu/lop-12?page=5,Die
93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,https://hoc247.net/tu-lieu/lop-12?page=1113,Die
94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,https://hoc247.net/tu-lieu/tieu-hoc/de-thi-kiem-tra/,Die
95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,https://hoc247.net/tu-lieu/tieu-hoc/toan-nang-cao/,Die
96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,https://hoc247.net/tu-lieu/tieu-hoc/soan-van/,Die
97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,https://hoc247.net/tu-lieu/tieu-hoc/van-mau/,Die
98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,https://hoc247.net/tu-lieu/tieu-hoc/ngoai-ngu/,Die
99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,https://hoc247.net/tu-lieu/tieu-hoc/tu-nhien-xa-hoi/,Die
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,https://hoc247.net/tu-lieu/tieu-hoc/sach-va-tap-chi/,Die
101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,https://hoc247.net/tu-lieu/tieu-hoc/tu-lieu-khac/,Die
102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,https://hoc247.net/tu-lieu/bo-5-de-thi-hk2-mon-tieng-anh-3-co-dap-an-nam-2021-2022-truong-th-loc-tho-doc38628.html,Yes
103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,https://hoc247.net/tu-lieu/tong-hop-noi-dung-on-tap-hk2-theo-tung-unit-tieng-anh-5-doc38593.html,Yes
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,https://hoc247.net/tu-lieu/tong-hop-bai-tap-ngu-phap-va-tu-vung-hk2-tieng-anh-4-doc38592.html,Yes
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,https://hoc247.net/tu-lieu/bo-5-de-thi-hk2-mon-tieng-anh-3-co-dap-an-nam-2021-2022-truong-th-an-binh-doc38569.html,Yes
106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,https://hoc247.net/tu-lieu/bo-5-de-thi-hk2-mon-toan-3-nam-2021-2022-co-dap-an-truong-th-nguyen-binh-khiem-doc38568.html,Yes
107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,https://hoc247.net/tu-lieu/bo-5-de-thi-hk2-mon-toan-3-nam-2021-2022-co-dap-an-truong-th-my-loc-doc38567.html,Yes
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,https://hoc247.net/tu-lieu/bo-5-de-thi-hk2-mon-tieng-anh-3-co-dap-an-nam-2021-2022-truong-th-ha-huy-tap-doc38566.html,Yes
109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,https://hoc247.net/tu-lieu/bo-5-de-thi-hk2-mon-toan-1-kntt-nam-2021-2022-co-dap-an-truong-th-dien-an-doc38565.html,Yes
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,https://hoc247.net/tu-lieu/bo-5-de-thi-hk2-mon-tieng-anh-2-kntt-nam-2021-2022-co-dap-an-truong-th-chu-van-an-doc38564.html,Yes
111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,https://hoc247.net/tu-lieu/bo-5-de-thi-hk2-mon-toan-1-ctst-nam-2021-2022-co-dap-an-truong-th-vo-thi-sau-doc38563.html,Yes
112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,https://hoc247.net/tu-lieu/bo-5-de-thi-hk2-mon-tieng-anh-2-canh-dieu-nam-2021-2022-co-dap-an-truong-th-nghia-lo-doc38562.html,Yes
113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,https://hoc247.net/tu-lieu/bo-5-de-thi-hk2-mon-toan-1-cd-nam-2021-2022-co-dap-an-truong-th-long-thuong-doc38561.html,Yes
114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,https://hoc247.net/tu-lieu/tieu-hoc?page=2,Die
115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,https://hoc247.net/tu-lieu/tieu-hoc?page=3,Die
116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,https://hoc247.net/tu-lieu/tieu-hoc?page=4,Die
117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,https://hoc247.net/tu-lieu/tieu-hoc?page=5,Die
118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,https://hoc247.net/tu-lieu/tieu-hoc?page=171,Die
119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,https://hoc247.net/tu-lieu/lop-6/de-thi-kiem-tra/,Die
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,https://hoc247.net/tu-lieu/lop-6/toan-nang-cao/,Die
